MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Tigertail,(2020),drama,6.5,"In this multi-generational drama, a Taiwanese factory worker leaves his homeland to seek opportunity in America, where he struggles to find connection while balancing family and newfound responsibilities.","Director: Alan Yang | Stars: Tzi Ma, Christine Ko, Hong-Chi Lee, Queenie Yu-Hsin Fang",3301,91,0.0,2020,Alan Yang,Tzi Ma Christine Ko Hong-Chi Lee Queenie Yu-Hsin Fang,"tigertail drama in this multi-generational drama, a taiwanese factory worker leaves his homeland to seek opportunity in america, where he struggles to find connection while balancing family and newfound responsibilities. alan yang tzi ma christine ko hong-chi lee queenie yu-hsin fang"
Real Rob,(2015– ),comedy,6.4,Centers around comedian Rob Schneider's real life while living in Hollywood.,"Stars: Rob Schneider, Patricia Maya Schneider, Jamie Lissow, Miranda Scarlett Schneider",2650,30,0.0,2015,,Rob Schneider Patricia Maya Schneider Jamie Lissow Miranda Scarlett Schneider,real rob comedy centers around comedian rob schneider's real life while living in hollywood. rob schneider patricia maya schneider jamie lissow miranda scarlett schneider
Uisa Yohan,(2019– ),drama mystery romance,8.2,"In a refreshing take on the genre, ""Doctor John"" will portray the doctors' search for the cause of their patients' mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime.","Stars: Seong Ji, Se-yeong Lee, Hwang Hee, Min-a Jeong",857,35,0.0,2019,,Seong Ji Se-yeong Lee Hwang Hee Min-a Jeong,"uisa yohan drama mystery romance in a refreshing take on the genre, ""doctor john"" will portray the doctors' search for the cause of their patients' mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime. seong ji se-yeong lee hwang hee min-a jeong"
Maria,(II) (2019),action crime drama,5.0,A Filipino female assassin quits and fakes her death. Her old boss finds out after she's gotten a family. He tries to kill them. She responds.,"Director: Pedring Lopez | Stars: Cristine Reyes, Germaine De Leon, KC Montero, Ronnie Lazaro",1872,90,0.0,2019,Pedring Lopez,Cristine Reyes Germaine De Leon KC Montero Ronnie Lazaro,maria action crime drama a filipino female assassin quits and fakes her death. her old boss finds out after she's gotten a family. he tries to kill them. she responds. pedring lopez cristine reyes germaine de leon kc montero ronnie lazaro
Frozen Fever,(2015),animation short adventure,6.9,"On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.","Directors: Chris Buck, Jennifer Lee | Stars: Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",14945,8,0.0,2015,"Chris Buck, Jennifer Lee",Kristen Bell Idina Menzel Jonathan Groff Josh Gad,"frozen fever animation short adventure on anna's birthday, elsa and kristoff are determined to give her the best celebration ever, but elsa's icy powers may put more than just the party at risk. chris buck, jennifer lee kristen bell idina menzel jonathan groff josh gad"
Abstract: The Art of Design,(2017– ),documentary,8.4,"A look beyond blueprints and computers into the art and science of design, showcasing great designers from every discipline whose work shapes our world.","Stars: Platon, Cas Holman, Ian Spalter, Elisabeth Biondi",5046,45,0.0,2017,,Platon Cas Holman Ian Spalter Elisabeth Biondi,"abstract: the art of design documentary a look beyond blueprints and computers into the art and science of design, showcasing great designers from every discipline whose work shapes our world. platon cas holman ian spalter elisabeth biondi"
Sell By,(2019),comedy drama romance,5.7,An ensemble comedy about romance in the smartphone era.,"Director: Mike Doyle | Stars: Scott Evans, Augustus Prew, Michelle Buteau, Colin Donnell",928,94,0.0,2019,Mike Doyle,Scott Evans Augustus Prew Michelle Buteau Colin Donnell,sell by comedy drama romance an ensemble comedy about romance in the smartphone era. mike doyle scott evans augustus prew michelle buteau colin donnell
Super Buddies,(2013 Video),family,4.3,A new breed of super hero is born in Disney's all-new movie!,"Director: Robert Vince | Stars: Trey Loney, John Ratzenberger, Michael Teigen, Sam Adler",1278,81,0.0,2013,Robert Vince,Trey Loney John Ratzenberger Michael Teigen Sam Adler,super buddies family a new breed of super hero is born in disney's all-new movie! robert vince trey loney john ratzenberger michael teigen sam adler
Spivak,(2018),comedy,5.6,Struggling writer Wally Spivak is stuck in a rut - - until he meets an engaged couple and starts to see life in a whole new way.,"Directors: Anthony Abrams, Adam Larson Broder | Stars: Michael Bacall, Maggie Lawson, Elden Henson, Mark Webber",673,91,0.0,2018,"Anthony Abrams, Adam Larson Broder",Michael Bacall Maggie Lawson Elden Henson Mark Webber,"spivak comedy struggling writer wally spivak is stuck in a rut - - until he meets an engaged couple and starts to see life in a whole new way. anthony abrams, adam larson broder michael bacall maggie lawson elden henson mark webber"
Inside Man,,drama mystery thriller,0.0,"A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way.","Stars: David Tennant, Stanley Tucci, Dolly Wells, Lydia West",0,0,0.0,0,,David Tennant Stanley Tucci Dolly Wells Lydia West,"inside man drama mystery thriller a prisoner on death row in the us and a woman trapped in a cellar under an english vicarage, cross paths in the most unexpected way. david tennant stanley tucci dolly wells lydia west"
