MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
365 dni,(2020),drama romance,3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Directors: Barbara Bialowas, Tomasz Mandes | Stars: Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze",63620,114,0.0,2020,"Barbara Bialowas, Tomasz Mandes",Anna Maria Sieklucka Michele Morrone Bronislaw Wroclawski Otar Saralidze,"365 dni drama romance massimo is a member of the sicilian mafia family and laura is a sales director. she does not expect that on a trip to sicily trying to save her relationship, massimo will kidnap her and give her 365 days to fall in love with him. barbara bialowas, tomasz mandes anna maria sieklucka michele morrone bronislaw wroclawski otar saralidze"
How to Sell Drugs Online (Fast),(2019– ),comedy crime drama,7.9,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","Stars: Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung",23960,30,0.0,2019,,Maximilian Mundt Danilo Kamperidis Lena Klenke Damian Hardung,"how to sell drugs online (fast) comedy crime drama to win back the love of his life, a high school student and his best friend launch europe's largest online drug business from their teenage bedroom. maximilian mundt danilo kamperidis lena klenke damian hardung"
Good Girls,(2018–2021),comedy crime drama,7.8,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,"Stars: Christina Hendricks, Retta, Mae Whitman, Reno Wilson",38618,43,0.0,2018,,Christina Hendricks Retta Mae Whitman Reno Wilson,good girls comedy crime drama three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back. christina hendricks retta mae whitman reno wilson
13 Reasons Why,(2017–2020),drama mystery thriller,7.6,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","Stars: Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe",266386,60,0.0,2017,,Dylan Minnette Katherine Langford Christian Navarro Alisha Boe,"13 reasons why drama mystery thriller follows teenager clay jensen, in his quest to uncover the story behind his classmate and crush, hannah, and her decision to end her life. dylan minnette katherine langford christian navarro alisha boe"
The Queen's Gambit,(2020),drama,8.6,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","Stars: Anya Taylor-Joy, Chloe Pirrie, Bill Camp, Marcin Dorocinski",336801,395,0.0,2020,,Anya Taylor-Joy Chloe Pirrie Bill Camp Marcin Dorocinski,"the queen's gambit drama orphaned at the tender age of nine, prodigious introvert beth harmon discovers and masters the game of chess in 1960s usa. but child stardom comes at a price. anya taylor-joy chloe pirrie bill camp marcin dorocinski"
Legends of Tomorrow,(2016– ),action adventure drama,6.8,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Stars: Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano",95897,42,0.0,2016,,Caity Lotz Amy Louise Pemberton Dominic Purcell Nick Zano,"legends of tomorrow action adventure drama time-travelling rogue rip hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only earth, but all of time. caity lotz amy louise pemberton dominic purcell nick zano"
Star Trek: The Next Generation,(1987–1994),action adventure mystery,8.6,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","Stars: Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton",106181,44,0.0,1987,,Patrick Stewart Brent Spiner Jonathan Frakes LeVar Burton,"star trek: the next generation action adventure mystery set almost 100 years after captain kirk's five-year mission, a new generation of starfleet officers set off in the u.s.s. enterprise-d on their own mission to go where no one has gone before. patrick stewart brent spiner jonathan frakes levar burton"
Le dernier mercenaire,(2021),action comedy,5.4,"A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","Director: David Charhon | Stars: Jean-Claude Van Damme, Alban Ivanov, Samir Decazza, Assa Sylla",2606,110,0.0,2021,David Charhon,Jean-Claude Van Damme Alban Ivanov Samir Decazza Assa Sylla,"le dernier mercenaire action comedy a mysterious former secret service agent must urgently return to france when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation. david charhon jean-claude van damme alban ivanov samir decazza assa sylla"
Resort to Love,(2021),comedy romance,5.7,"Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","Director: Steven K. Tsuchida | Stars: Christina Milian, Tymberlee Hill, Kayne Lee Harrison, Ruth Nadler-Nir",1591,101,0.0,2021,Steven K. Tsuchida,Christina Milian Tymberlee Hill Kayne Lee Harrison Ruth Nadler-Nir,"resort to love comedy romance erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown. steven k. tsuchida christina milian tymberlee hill kayne lee harrison ruth nadler-nir"
Evil,(2019– ),crime drama horror,7.7,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","Stars: Katja Herbers, Mike Colter, Aasif Mandvi, Maddy Crocco",15048,42,0.0,2019,,Katja Herbers Mike Colter Aasif Mandvi Maddy Crocco,"evil crime drama horror a skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work. katja herbers mike colter aasif mandvi maddy crocco"
The Expanse,(2015– ),drama mystery sci-fi,8.5,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","Stars: Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo",119644,60,0.0,2015,,Wes Chatham Dominique Tipper Steven Strait Shohreh Aghdashloo,"the expanse drama mystery sci-fi in the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the solar system's fragile state of cold war. wes chatham dominique tipper steven strait shohreh aghdashloo"
New Amsterdam,(2018– ),drama,8.1,A new medical director breaks the rules to heal the system at America's oldest public hospital.,"Stars: Ryan Eggold, Janet Montgomery, Freema Agyeman, Jocko Sims",27709,43,0.0,2018,,Ryan Eggold Janet Montgomery Freema Agyeman Jocko Sims,new amsterdam drama a new medical director breaks the rules to heal the system at america's oldest public hospital. ryan eggold janet montgomery freema agyeman jocko sims
Line of Duty,(2012– ),crime drama mystery,8.7,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","Stars: Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson",46751,60,0.0,2012,,Martin Compston Vicky McClure Adrian Dunbar Craig Parkinson,"line of duty crime drama mystery drama series following the investigations of ac-12, a controversial police anti-corruption unit. martin compston vicky mcclure adrian dunbar craig parkinson"
The 100,(2014–2020),drama mystery sci-fi,7.6,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","Stars: Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",226962,43,0.0,2014,,Eliza Taylor Bob Morley Marie Avgeropoulos Isaiah Washington,"the 100 drama mystery sci-fi set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to earth, in hopes of possibly re-populating the planet. eliza taylor bob morley marie avgeropoulos isaiah washington"
New Girl,(2011–2018),comedy,7.7,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","Stars: Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",200421,22,0.0,2011,,Zooey Deschanel Jake Johnson Max Greenfield Hannah Simone,"new girl comedy after a bad break-up, jess, an offbeat young woman, moves into an apartment loft with three single men. although they find her behavior very unusual, the men support her - most of the time. zooey deschanel jake johnson max greenfield hannah simone"
Prison Break,(2005–2017),action crime drama,8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","Stars: Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",492438,44,0.0,2005,,Dominic Purcell Wentworth Miller Amaury Nolasco Robert Knepper,"prison break action crime drama due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside. dominic purcell wentworth miller amaury nolasco robert knepper"
Sex Education,(2019– ),comedy drama,8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"Stars: Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",177274,45,0.0,2019,,Asa Butterfield Gillian Anderson Ncuti Gatwa Emma Mackey,sex education comedy drama a teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school. asa butterfield gillian anderson ncuti gatwa emma mackey
A Classic Horror Story,(2021),drama horror mystery,5.7,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","Directors: Roberto De Feo, Paolo Strippoli | Stars: Matilda Anna Ingrid Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick",8822,95,0.0,2021,"Roberto De Feo, Paolo Strippoli",Matilda Anna Ingrid Lutz Francesco Russo Peppino Mazzotta Will Merrick,"a classic horror story drama horror mystery in this gruesome suspense film, strangers traveling in southern italy become stranded in the woods, where they must fight desperately to get out alive. roberto de feo, paolo strippoli matilda anna ingrid lutz francesco russo peppino mazzotta will merrick"
